pix,year,for_age_2003,for_con_2003,for_pro,elev,p1_trend,p1_trend_slope,trend_20yrs,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,fire,harv,insc,gfc,canlad,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos
151723,2003,86.07,50.569,1,422.638,1,3.288,,,,-9.173,-0.769,2.911,-2.27,3.262,1.0,1.455,-1.135,5.862,-4.0,5.824,-4.541,5.794,4.0,0,0,0,0,0,,,,,,
151962,2003,80.446,66.436,0,367.693,1,3.938,5,,,-8.095,0.0,3.055,3.207,4.567,2.0,1.527,1.604,4.419,-3.0,6.11,6.413,5.174,3.0,0,0,0,0,0,,,,,,
152658,2003,103.671,21.631,0,440.056,1,3.967,,,,-7.789,0.0,-8.252,1.93,4.423,2.0,-4.126,0.965,7.263,-3.965,-16.505,3.86,5.127,3.868,0,0,0,0,0,,,,,,
152659,2003,101.014,23.932,0,443.243,1,3.533,1,,,-7.805,0.0,-11.863,3.793,4.409,2.0,-5.932,1.896,7.247,-4.0,-23.724,7.587,5.134,3.508,0,0,0,0,0,,,,,,
152660,2003,90.076,32.541,0,442.677,1,3.802,1,,,-7.818,0.0,-6.952,2.725,4.398,2.0,-3.476,1.363,7.236,-3.985,-13.903,5.452,5.14,3.749,0,0,0,0,0,,,,,,
152661,2003,87.324,39.786,0,442.429,1,3.504,1,,,-7.834,0.0,-6.609,3.637,4.389,2.0,-3.305,1.819,7.222,-3.747,-13.218,7.274,5.15,3.499,0,0,0,0,0,,,,,,
152662,2003,89.119,39.429,0,444.177,1,3.268,,,,-7.852,0.0,-7.017,5.043,4.38,2.0,-3.509,2.522,7.206,-3.24,-14.033,10.086,5.16,3.038,0,0,0,0,0,,,,,,
152695,2003,73.619,45.048,1,410.415,1,3.881,1,,,-8.344,0.0,5.123,-2.498,3.985,2.0,2.561,-1.249,6.706,-3.0,10.244,-4.995,5.384,3.0,0,0,3,0,0,,,,,,
152696,2003,82.165,46.076,1,413.184,1,3.934,1,,,-8.361,0.0,3.425,-1.321,3.969,2.0,1.712,-0.66,6.693,-3.0,6.851,-2.642,5.39,3.0,0,0,2,0,0,,,,,,
152995,2003,96.647,45.751,0,412.348,1,3.31,,,,-8.097,0.0,-1.837,1.249,4.635,2.0,-0.919,0.625,4.417,-3.0,-3.674,2.497,5.23,3.0,0,0,0,0,0,,,,,,
104827,2003,50.959,44.781,0,161.546,1,6.045,1,,,-5.415,0.0,9.145,-1.535,6.033,2.0,4.573,-0.768,4.969,-5.298,18.288,-3.07,3.37,4.0,0,0,0,0,0,,,,,,
171559,2003,79.839,31.637,0,349.313,1,3.208,5,,,-7.772,-1.0,1.713,6.078,5.195,1.0,0.856,3.039,3.977,-4.0,3.426,12.156,5.022,3.0,0,0,0,0,0,,,,,,
68679,2003,79.128,22.842,0,343.816,1,3.79,,,,-6.707,0.0,4.521,-3.355,4.713,2.0,2.26,-1.677,5.788,-3.0,9.043,-6.709,4.484,2.571,0,0,0,1,0,,,,,,
229867,2003,86.164,48.22,1,415.15,1,4.174,1,,,-10.211,0.0,-3.247,-2.087,2.71,2.0,-1.623,-1.044,4.334,-3.672,-6.496,-4.175,5.611,4.0,0,0,0,1,0,,,,,,
142415,2003,84.612,73.608,1,419.795,1,3.925,,,,-8.259,0.0,-0.068,-2.343,4.065,2.0,-0.034,-1.172,6.856,-3.0,-0.136,-4.684,5.472,3.0,0,0,0,0,0,,,,,,
160261,2003,76.722,28.518,0,277.393,1,2.551,1,,,-7.455,-0.372,3.235,-2.977,5.324,1.628,1.617,-1.488,4.166,-4.328,6.471,-5.953,4.794,3.372,0,0,0,1,1,,,,,,
127044,2003,78.216,52.572,0,412.859,1,4.17,5,,,-8.735,0.0,7.546,-3.672,3.518,1.124,3.773,-1.836,6.29,-4.0,15.091,-7.344,5.775,4.0,0,0,0,0,0,,,,,,
108683,2003,95.002,59.047,0,410.19,1,7.41,1,,,-8.249,0.0,-0.639,-5.603,3.993,2.0,-0.319,-2.801,5.524,-3.0,-1.277,-11.206,5.409,3.0,0,1,0,1,1,,,,,,
120261,2003,70.609,31.791,0,178.749,1,4.039,1,,,-5.62,-0.03,4.573,-4.662,6.241,2.0,2.287,-2.331,4.83,-5.987,9.146,-9.323,3.482,4.0,0,0,0,1,0,,,,,,
123942,2003,80.532,34.105,0,437.001,1,2.645,1,,,-8.494,0.0,1.38,0.925,3.824,2.0,0.69,0.462,6.586,-4.0,2.761,1.851,5.741,4.0,0,0,0,0,0,,,,,,
36850,2003,79.631,27.183,0,324.237,1,5.377,,,,-5.576,0.0,6.522,0.064,5.092,2.0,3.261,0.032,6.196,-3.0,13.045,0.128,3.831,2.0,0,0,0,0,0,,,,,,
79937,2003,83.657,59.495,1,281.013,1,5.007,,,,-7.487,0.0,-1.753,-4.677,4.199,2.0,-0.877,-2.339,5.697,-4.0,-3.505,-9.356,4.827,3.0,0,0,0,0,0,,,,,,
104471,2003,89.012,47.42,0,397.363,1,3.224,,,,-8.524,0.0,-3.646,0.039,3.691,2.0,-1.823,0.019,6.226,-3.97,-7.292,0.078,5.765,3.976,0,0,0,0,0,,,,,,
71919,2003,66.421,43.083,0,214.842,1,4.108,1,,,-4.889,-1.0,4.614,-6.316,5.936,1.0,2.307,-3.158,5.508,-5.0,9.227,-12.632,3.205,4.0,0,0,0,0,0,,,,,,
120122,2003,83.352,75.106,0,271.792,1,4.855,1,,,-7.126,-0.77,0.97,-9.242,4.888,1.237,0.485,-4.621,4.835,-4.0,1.939,-18.485,4.565,3.763,0,0,0,2,1,,,,,,
155836,2003,106.451,8.591,1,463.787,1,4.012,,,,-9.248,0.0,-2.685,1.177,3.199,1.0,-1.342,0.588,5.787,-4.0,-5.37,2.355,5.821,4.0,0,0,0,0,0,,,,,,
101381,2003,67.942,34.785,1,331.157,1,5.038,1,,,-8.418,-1.0,5.615,-2.841,3.701,1.0,2.808,-1.42,6.265,-5.0,11.23,-5.681,5.673,4.0,0,0,0,0,0,,,,,,
105475,2003,,,1,418.621,1,5.102,1,,,-8.613,0.0,,,3.56,2.0,,,6.346,-4.0,,,5.857,4.0,0,0,0,0,0,,,,,,
79093,2003,74.893,57.372,1,194.757,1,3.758,,,,-5.284,-1.0,5.736,-5.785,5.743,1.0,2.868,-2.893,5.27,-5.0,11.471,-11.572,3.424,4.0,0,1,0,1,0,,,,,,
95218,2003,69.061,60.364,0,346.198,1,4.63,,,,-8.335,-0.132,4.756,-0.216,3.765,1.868,2.378,-0.108,6.335,-4.0,9.513,-0.433,5.672,4.0,0,0,0,0,0,,,,,,
74534,2003,91.434,37.93,0,355.224,1,3.552,,,,-7.07,0.0,-0.774,-0.226,4.809,2.0,-0.387,-0.113,7.88,-4.0,-1.547,-0.452,5.682,4.0,0,0,0,0,0,,,,,,
93166,2003,87.011,39.128,0,374.271,1,4.249,1,,,-8.34,0.0,2.682,-2.935,3.81,2.0,1.341,-1.467,6.376,-3.795,5.364,-5.871,5.722,4.0,0,0,0,0,0,,,,,,
164053,2003,69.619,38.799,1,443.437,1,3.138,1,,,-9.275,-0.751,0.379,0.339,3.228,1.249,0.189,0.17,5.801,-3.751,0.758,0.677,5.767,3.751,0,0,0,0,0,,,,,,
131038,2003,77.081,48.707,0,386.222,1,4.437,,,,-7.099,0.0,2.086,3.547,4.844,2.0,1.043,1.774,7.808,-4.0,4.171,7.094,5.029,4.0,0,0,0,0,0,,,,,,
105827,2003,81.131,43.214,0,198.317,1,3.932,,,,-5.772,0.0,2.086,1.869,5.812,2.0,1.043,0.935,4.942,-5.0,4.172,3.738,3.697,3.0,0,0,0,0,0,,,,,,
105829,2003,75.813,61.843,0,203.146,1,2.678,,,,-5.756,0.0,8.232,3.325,5.83,2.0,4.116,1.663,4.941,-4.965,16.463,6.649,3.695,3.0,0,0,0,0,0,,,,,,
105830,2003,63.532,51.406,0,199.424,1,3.211,,,,-5.743,0.0,5.854,6.259,5.839,2.0,2.927,3.13,4.945,-4.984,11.706,12.518,3.679,3.0,0,0,0,0,0,,,,,,
105831,2003,71.962,47.274,0,198.648,1,3.103,,,,-5.726,0.0,3.889,6.114,5.848,2.0,1.944,3.057,4.947,-5.0,7.777,12.227,3.666,3.0,0,0,0,0,0,,,,,,
105832,2003,77.671,47.341,0,196.004,1,4.92,1,,,-5.714,0.0,4.37,4.09,5.852,2.0,2.185,2.045,4.949,-5.0,8.741,8.179,3.658,3.064,0,0,0,0,0,,,,,,
105842,2003,66.183,40.104,0,199.265,1,3.029,,,,-5.595,0.0,8.705,6.132,5.948,2.0,4.352,3.066,5.008,-5.0,17.408,12.265,3.563,3.105,0,0,0,0,0,,,,,,
105844,2003,,,0,187.487,1,3.303,1,,,-5.571,0.0,,,5.953,2.0,,,5.019,-5.0,,,3.533,3.882,0,0,0,0,0,,,,,,
105846,2003,67.633,51.262,1,169.336,1,3.085,,,,-5.544,0.0,1.857,0.732,5.962,2.0,0.928,0.366,5.019,-5.0,3.713,1.465,3.491,4.0,0,0,0,0,0,,,,,,
105847,2003,66.576,43.078,1,192.878,1,2.746,,,,-5.541,0.0,0.48,5.239,5.993,2.0,0.24,2.619,5.025,-5.0,0.959,10.478,3.516,3.811,0,0,0,0,0,,,,,,
105852,2003,,,0,179.456,1,6.664,,,,-5.483,0.0,,,6.026,2.0,,,4.996,-5.0,,,3.45,4.0,0,0,0,0,0,,,,,,
105854,2003,68.01,36.481,0,186.299,1,4.383,1,,,-5.469,0.0,8.237,-3.585,6.054,2.0,4.119,-1.793,4.995,-5.004,16.473,-7.169,3.447,4.0,0,0,0,0,0,,,,,,
105877,2003,,,0,213.483,1,3.567,1,,,-5.263,0.0,,,6.342,2.0,,,5.142,-5.0,,,3.345,3.831,0,0,0,0,0,,,,,,
105878,2003,73.336,28.929,0,232.409,1,4.054,1,,,-5.269,0.0,8.127,-3.307,6.379,2.0,4.063,-1.654,5.182,-5.0,16.255,-6.613,3.377,3.085,0,0,0,0,0,,,,,,
105882,2003,53.371,26.782,0,218.255,1,4.269,1,,,-5.217,0.0,6.296,-2.538,6.401,2.0,3.148,-1.269,5.16,-5.0,12.591,-5.075,3.32,3.976,0,0,0,0,0,,,,,,
105884,2003,63.165,27.476,0,231.136,1,5.053,1,,,-5.214,0.0,3.0,-1.831,6.43,2.0,1.5,-0.916,5.184,-5.0,5.998,-3.661,3.329,3.853,0,0,0,0,0,,,,,,
105886,2003,50.545,28.735,0,203.092,1,5.372,1,,,-5.173,0.0,7.265,-3.16,6.424,2.0,3.632,-1.58,5.138,-5.0,14.53,-6.319,3.271,4.0,0,0,0,0,0,,,,,,
105887,2003,,,0,188.36,1,3.981,,,,-5.16,0.0,,,6.416,2.0,,,5.11,-5.57,,,3.25,4.0,0,0,0,0,0,,,,,,
105888,2003,51.992,33.939,0,184.33,1,4.011,,,,-5.15,0.0,3.395,-2.4,6.421,2.0,1.697,-1.2,5.109,-5.962,6.789,-4.799,3.239,4.0,0,0,0,0,0,,,,,,
106425,2003,78.866,31.325,1,379.512,1,3.965,,,,-7.668,0.0,5.829,0.155,4.359,2.0,2.914,0.078,7.296,-3.733,11.66,0.31,5.528,3.69,0,0,0,0,0,,,,,,
106508,2003,73.223,28.55,1,385.6,1,3.804,,,,-8.606,-0.156,3.021,-1.827,3.598,1.622,1.511,-0.913,6.314,-4.0,6.041,-3.654,5.819,4.0,0,0,0,0,0,,,,,,
106514,2003,65.451,21.702,1,330.419,1,4.559,1,,,-8.55,0.0,3.77,-1.635,3.653,2.0,1.885,-0.817,6.261,-4.0,7.541,-3.27,5.735,3.0,0,0,0,0,0,,,,,,
106517,2003,77.235,22.03,1,335.648,1,2.943,,,,-8.536,-0.851,5.691,-0.448,3.655,1.146,2.845,-0.224,6.235,-4.432,11.381,-0.895,5.719,3.854,0,0,0,0,0,,,,,,
106523,2003,90.261,29.159,0,403.862,1,3.295,1,,,-8.574,0.0,1.799,1.001,3.652,2.0,0.899,0.5,6.23,-3.769,3.598,2.003,5.79,3.961,0,0,0,0,0,,,,,,
106534,2003,89.998,42.178,0,406.508,1,4.496,,,,-8.552,0.0,1.259,0.901,3.726,2.0,0.63,0.45,6.189,-3.191,2.518,1.801,5.764,3.317,0,0,0,0,0,,,,,,
